78802,2019-02-04,14:30,3.0,38.213,-85.76,2,14,return
78803,2019-02-04,14:30,8.0,38.232,-85.764,2,14,return
78791,2019-02-04,14:30,6.0,38.223,-85.768,2,14,return
78805,2019-02-04,14:45,11.0,38.235,-85.759,2,14,pickup
78797,2019-02-04,14:45,7.0,38.235,-85.759,2,14,return
78799,2019-02-04,14:45,5.0,38.213,-85.761,2,14,return
78785,2019-02-04,14:45,29.0,38.227,-85.763,2,14,return
78804,2019-02-04,14:45,24.0,38.227,-85.763,2,14,return
78806,2019-02-04,15:00,3.0,38.218,-85.762,2,15,pickup
78807,2019-02-04,15:00,4.0,38.217,-85.758,2,15,pickup
78808,2019-02-04,15:00,3.0,38.218,-85.763,2,15,pickup
78809,2019-02-04,15:00,8.0,38.204,-85.759,2,15,pickup
78805,2019-02-04,15:00,11.0,38.209,-85.763,2,14,return
78806,2019-02-04,15:00,3.0,38.217,-85.759,2,15,return
78801,2019-02-04,15:00,22.0,38.237,-85.793,2,14,return
78807,2019-02-04,15:00,4.0,38.227,-85.755,2,15,return
78808,2019-02-04,15:00,3.0,38.217,-85.759,2,15,return
78810,2019-02-04,15:15,7.0,38.204,-85.758,2,15,pickup
78811,2019-02-04,15:15,11.0,38.256,-85.762,2,15,pickup
78812,2019-02-04,15:15,3.0,38.204,-85.757,2,15,pickup
