1347,2018-08-13,11:45,38.253,-85.755,2,return
1348,2018-08-13,11:45,38.247,-85.755,2,return
1345,2018-08-13,11:45,38.251,-85.743,2,return
1352,2018-08-13,12:00,38.244,-85.759,2,pickup
1353,2018-08-13,12:00,38.251,-85.758,2,pickup
1354,2018-08-13,12:00,38.256,-85.757,2,pickup
1351,2018-08-13,12:00,38.235,-85.758,2,return
1355,2018-08-13,12:15,38.256,-85.752,2,pickup
1356,2018-08-13,12:15,38.256,-85.75,2,pickup
1357,2018-08-13,12:15,38.257,-85.755,2,pickup
1358,2018-08-13,12:15,38.257,-85.751,2,pickup
1359,2018-08-13,12:15,38.249,-85.759,2,pickup
1360,2018-08-13,12:15,38.247,-85.755,2,pickup
1353,2018-08-13,12:15,38.254,-85.748,2,return
1355,2018-08-13,12:15,38.253,-85.757,2,return
1356,2018-08-13,12:15,38.257,-85.751,2,return
1360,2018-08-13,12:15,38.257,-85.756,2,return
1354,2018-08-13,12:15,38.256,-85.757,2,return
1361,2018-08-13,12:30,38.258,-85.757,2,pickup
1362,2018-08-13,12:30,38.253,-85.755,2,pickup
